ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Która z podanych miar nie jest stosowana na morzu ? ,pięd,węzeł ,rumb ,kabel ,1
2,Jaki numer nosił Rudy – czołg ”Czterej pancernych” ? ,101 ,102,202 ,303 ,2
3,"Starożytni Rzymianie, mówiąc ”mare nostrum” (nasze morze), mieli na myśli: ",Morze Kaspijskie ,Morze Czarne ,Morze Czerwone ,Morze Śródziemne,4
4,Którą z wymienionych książek dla dzieci napisał Jan Brzechwa ? ,Król Maciuś I ,Akademia Pana Kleksa,Biały Kieł ,Dzieci z Bullerbyn ,2
5,Ile kadłubów ma katamaran ? ,jeden ,dwa,trzy ,cztery ,2
6,Jaki płacz oznaczają ”krokodyle łzy” ? ,szczery ,dyskretny ,histeryczny ,nieszczery,4
7,Ku czci jakiej bogini wzniesiono Partenon na Akropolu ateńskim ? ,Ateny,Artemidy ,Demeter ,Hery ,1
8,Nauczyciel języka obcego na wyższej uczelni to: ,adiunkt ,lektor,dziekan ,docent ,2
9,Wirtuozem gry na jakim instrumencie był Niccolo Paganini ? ,na waltorni ,na skrzypcach,na fortepianie ,na harfie ,2
10,"Legendarny stwór o ciele uskrzydlonego lwa, głowie i szponach orła to: ",Gryf,Sfinks ,Centaur ,Minotaur ,1
